playerid,p_HBP,p_SHO,b_AB,p_L,p_SV,p_GF,p_CG,p_R,b_HBP,b_GIDP,b_BB,b_H,b_SH,b_IBB,b_2B,b_3B,b_SB,b_RBI,b_SO,b_G,p_W,b_R,classification
bondsbo01,NULL,NULL,7043,NULL,NULL,NULL,NULL,NULL,53,107,914,1886,16,75,302,66,461,1024,1757,1849,NULL,1258,0
bondto01,2,42,1975,163,0,10,386,1931,0,0,22,471,0,0,53,11,5,174,63,488,234,213,0
bonilbo01,0,0,7213,0,0,1,0,2,28,169,912,2010,5,128,408,61,45,1173,1204,2113,0,1084,0
booneaa01,NULL,NULL,3871,NULL,NULL,NULL,NULL,NULL,80,74,303,1017,39,20,216,17,107,555,707,1152,NULL,519,0
boonebo01,NULL,NULL,7245,NULL,NULL,NULL,NULL,NULL,20,191,663,1838,142,90,303,26,38,826,608,2264,NULL,679,0
boonebr01,NULL,NULL,6683,NULL,NULL,NULL,NULL,NULL,69,168,552,1775,55,32,366,28,94,1021,1295,1780,NULL,927,0
bottoji01,NULL,NULL,7471,NULL,NULL,NULL,NULL,NULL,43,33,664,2313,177,0,465,151,58,1422,591,1991,NULL,1177,1
boudrlo01,NULL,NULL,6029,NULL,NULL,NULL,NULL,NULL,34,155,796,1779,164,0,385,66,51,789,309,1646,NULL,861,1
boutoji01,23,11,347,63,6,57,34,566,3,2,14,35,29,0,3,0,0,21,160,307,62,8,0
bowala01,NULL,NULL,8418,NULL,NULL,NULL,NULL,NULL,17,121,474,2191,151,45,262,99,318,525,569,2247,NULL,987,0
boyercl02,NULL,NULL,5780,NULL,NULL,NULL,NULL,NULL,25,136,470,1396,37,74,200,33,41,654,931,1725,NULL,645,0
boyerke01,NULL,NULL,7455,NULL,NULL,NULL,NULL,NULL,20,185,713,2143,17,97,318,68,105,1141,1017,2034,NULL,1104,0
bradlbi01,0,0,5430,0,0,0,0,3,73,0,290,1471,253,0,275,84,181,552,18,1461,0,754,0
brechha01,37,25,673,92,18,53,125,701,4,16,45,129,24,0,13,5,0,44,121,321,133,48,0
breitte01,43,12,1347,170,3,34,300,1845,6,0,150,291,23,0,27,15,30,126,102,447,160,174,0
bresnro01,3,1,4481,1,0,3,3,30,67,0,714,1252,112,0,218,71,212,530,99,1446,4,682,0
brettge01,NULL,NULL,10349,NULL,NULL,NULL,NULL,NULL,33,235,1096,3154,26,229,665,137,201,1595,908,2707,NULL,1583,1
breweji01,10,1,140,65,132,351,1,401,1,1,10,21,7,0,2,0,1,9,52,586,69,2,0
bridgto01,35,33,1003,138,10,47,200,1321,0,6,74,181,65,0,27,8,0,72,271,424,194,83,0
briggjo02,NULL,NULL,4117,NULL,NULL,NULL,NULL,NULL,5,54,663,1041,22,47,170,43,64,507,785,1366,NULL,601,0
brilene01,51,17,469,112,22,74,64,929,2,5,21,72,37,0,9,2,0,29,171,452,129,29,0
brocklo01,NULL,NULL,10332,NULL,NULL,NULL,NULL,NULL,49,114,761,3023,47,124,486,141,938,900,1730,2616,NULL,1610,1
brookhu01,NULL,NULL,5974,NULL,NULL,NULL,NULL,NULL,38,163,387,1608,12,62,290,31,64,824,1005,1645,NULL,656,0
brosisc01,NULL,NULL,3889,NULL,NULL,NULL,NULL,NULL,47,84,348,1001,31,12,200,8,57,531,699,1146,NULL,544,0
broutda01,0,0,6711,2,0,1,2,37,105,0,840,2296,2,0,460,205,256,1296,238,1673,0,1523,1
brownga01,NULL,NULL,2262,NULL,NULL,NULL,NULL,NULL,15,54,242,582,5,18,78,19,30,322,275,1051,NULL,330,0
brownke01,139,17,495,144,0,1,72,1357,5,2,19,64,54,0,10,0,0,29,187,490,211,20,0
brownla01,NULL,NULL,3449,NULL,NULL,NULL,NULL,NULL,22,95,317,803,60,26,108,13,22,254,414,1129,NULL,331,0
brownmo01,63,55,1143,130,49,138,271,1044,1,0,44,235,49,0,20,11,8,74,75,493,239,93,1
brownra99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
brownto05,32,12,621,90,0,1,31,913,0,7,25,95,72,0,14,1,5,32,200,324,123,42,0
brownwi02,NULL,NULL,67,NULL,NULL,NULL,NULL,NULL,0,2,0,12,0,0,3,0,2,6,7,21,NULL,4,1
brutobi01,NULL,NULL,6056,NULL,NULL,NULL,NULL,NULL,29,73,482,1651,72,32,241,102,207,545,793,1610,NULL,937,0
bucknbi01,NULL,NULL,9397,NULL,NULL,NULL,NULL,NULL,42,247,450,2715,47,111,498,49,183,1208,453,2517,NULL,1077,0
buhneja01,NULL,NULL,5013,NULL,NULL,NULL,NULL,NULL,56,123,792,1273,12,41,233,19,6,965,1406,1472,NULL,798,0
bumbral01,NULL,NULL,5053,NULL,NULL,NULL,NULL,NULL,21,74,471,1422,44,30,220,52,254,402,709,1496,NULL,778,0
bunniji01,160,40,1275,184,16,39,151,1527,1,36,34,213,85,0,21,4,0,75,362,601,224,82,1
burdele01,56,33,1011,144,31,128,158,1400,12,14,32,185,63,0,27,4,2,75,271,666,203,101,0
burgesm01,NULL,NULL,4471,NULL,NULL,NULL,NULL,NULL,13,121,477,1318,13,80,230,33,13,673,270,1691,NULL,485,0
burkeje01,0,0,8421,11,0,8,6,129,75,0,1029,2850,80,0,320,182,389,952,230,2066,3,1720,0
burksel01,NULL,NULL,7232,NULL,NULL,NULL,NULL,NULL,60,171,793,2107,29,33,402,63,181,1206,1340,2000,NULL,1253,0
burleri01,NULL,NULL,5139,NULL,NULL,NULL,NULL,NULL,28,138,420,1401,84,11,256,23,72,449,477,1346,NULL,656,0
burnije01,NULL,NULL,5710,NULL,NULL,NULL,NULL,NULL,78,99,739,1447,9,75,298,29,74,981,1376,1694,NULL,917,0
burnsge01,NULL,NULL,7241,NULL,NULL,NULL,NULL,NULL,26,0,872,2077,112,0,362,108,383,611,565,1853,NULL,1188,0
burrepa01,NULL,NULL,5503,NULL,NULL,NULL,NULL,NULL,31,119,932,1393,0,53,299,16,7,976,1564,1640,NULL,767,0
burroje01,NULL,NULL,5536,NULL,NULL,NULL,NULL,NULL,15,148,831,1443,4,65,230,20,16,882,1135,1689,NULL,720,0
bushdo01,NULL,NULL,7210,NULL,NULL,NULL,NULL,NULL,29,0,1158,1804,337,0,186,74,404,436,346,1946,NULL,1280,0
bushgu01,41,16,888,136,34,145,151,1369,1,10,50,143,61,0,12,2,3,52,162,544,176,57,0
bushjo01,62,35,1239,183,20,93,225,1443,0,0,53,313,24,0,59,17,4,137,192,581,195,128,0
butlebr01,NULL,NULL,8180,NULL,NULL,NULL,NULL,NULL,38,62,1129,2375,147,23,277,131,558,578,907,2213,NULL,1359,0
cabreor01,NULL,NULL,7562,NULL,NULL,NULL,NULL,NULL,32,188,514,2055,57,26,459,32,216,854,745,1985,NULL,985,0
cadorle01,26,10,442,72,3,36,83,525,1,0,14,92,15,0,10,4,2,45,103,193,68,28,0
caldwmi01,35,23,216,130,18,77,98,1182,0,8,4,34,22,0,7,0,0,8,62,477,137,11,0
callijo01,NULL,NULL,6652,NULL,NULL,NULL,NULL,NULL,41,98,650,1757,51,73,321,89,74,840,1064,1886,NULL,926,0
camermi01,NULL,NULL,6839,NULL,NULL,NULL,NULL,NULL,87,114,867,1700,31,19,383,59,297,968,1901,1955,NULL,1064,0
camildo01,NULL,NULL,5353,NULL,NULL,NULL,NULL,NULL,28,80,947,1482,24,0,261,86,60,950,961,1490,NULL,936,0
caminke01,NULL,NULL,6288,NULL,NULL,NULL,NULL,NULL,29,152,727,1710,14,111,348,17,88,983,1163,1760,NULL,894,0
camniho01,65,20,677,106,15,74,137,855,2,0,37,92,53,0,6,1,1,32,128,326,133,42,0
campabe01,0,0,8684,0,0,0,0,1,64,106,618,2249,199,15,313,86,649,646,1142,2328,0,1181,0
camparo01,NULL,NULL,4205,NULL,NULL,NULL,NULL,NULL,30,143,533,1161,30,30,178,18,25,856,501,1215,NULL,627,1
campbbi02,20,1,26,68,126,455,2,550,0,1,4,4,0,0,0,0,0,2,10,700,83,2,0
candejo01,37,13,596,122,29,82,54,1038,2,19,44,104,43,0,20,3,0,48,162,603,177,39,0
candito01,85,11,299,164,0,11,68,1299,1,10,7,35,52,0,5,0,0,12,71,452,151,11,0
cannich01,NULL,NULL,1950,NULL,NULL,NULL,NULL,NULL,7,67,241,458,28,35,66,12,3,169,354,740,NULL,132,0
cansejo01,0,0,7057,0,0,1,0,3,84,178,906,1877,1,64,340,14,200,1407,1942,1887,0,1186,0
cardejo02,NULL,NULL,6964,NULL,NULL,NULL,NULL,NULL,26,147,608,1913,37,38,333,46,329,775,807,2017,NULL,936,0
cardele01,NULL,NULL,6707,NULL,NULL,NULL,NULL,NULL,28,174,522,1725,97,122,285,49,39,689,1135,1941,NULL,662,0
carewro01,NULL,NULL,9315,NULL,NULL,NULL,NULL,NULL,25,216,1018,3053,128,144,445,112,353,1015,1028,2469,NULL,1424,1
careyma01,NULL,NULL,9363,NULL,NULL,NULL,NULL,NULL,77,0,1040,2665,290,0,419,159,738,800,695,2476,NULL,1545,1
carltst01,53,55,1719,244,2,13,254,2130,10,33,41,346,94,0,49,6,2,140,413,745,329,123,1
carrach01,NULL,NULL,4644,NULL,NULL,NULL,NULL,NULL,38,109,491,1199,67,4,172,25,31,474,467,1325,NULL,568,0
carribi02,NULL,NULL,1970,NULL,NULL,NULL,NULL,NULL,22,0,206,506,79,0,67,14,37,235,59,709,NULL,194,0
carrocl02,37,0,208,73,143,373,1,506,0,3,7,27,30,0,0,0,0,7,65,731,96,17,0
cartega01,NULL,NULL,7971,NULL,NULL,NULL,NULL,NULL,68,180,848,2092,33,106,371,31,39,1225,997,2295,NULL,1025,1
cartejo01,NULL,NULL,8422,NULL,NULL,NULL,NULL,NULL,90,132,527,2184,10,86,432,53,231,1445,1387,2189,NULL,1170,0
cartyri01,NULL,NULL,5606,NULL,NULL,NULL,NULL,NULL,13,206,642,1677,3,65,278,17,21,890,663,1651,NULL,712,0
casanpa01,NULL,NULL,2786,NULL,NULL,NULL,NULL,NULL,9,78,101,627,10,25,87,12,2,252,430,859,NULL,214,0
casege01,NULL,NULL,5016,NULL,NULL,NULL,NULL,NULL,21,48,426,1415,52,0,233,43,349,377,297,1226,NULL,785,0
caseyse01,NULL,NULL,5066,NULL,NULL,NULL,NULL,NULL,62,156,477,1531,0,69,322,12,18,735,577,1405,NULL,690,0
cashda01,NULL,NULL,5554,NULL,NULL,NULL,NULL,NULL,18,124,424,1571,30,28,243,56,120,426,309,1422,NULL,732,0
cashno01,NULL,NULL,6705,NULL,NULL,NULL,NULL,NULL,90,139,1043,1820,17,112,241,41,43,1103,1091,2089,NULL,1046,0
castilu01,NULL,NULL,6510,NULL,NULL,NULL,NULL,NULL,12,120,800,1889,123,13,194,59,370,443,850,1720,NULL,1001,0
castivi02,NULL,NULL,6822,NULL,NULL,NULL,NULL,NULL,60,224,423,1884,8,64,349,28,33,1105,1069,1854,NULL,902,0
cavarph01,NULL,NULL,6754,NULL,NULL,NULL,NULL,NULL,37,103,820,1977,89,0,347,99,65,920,598,2030,NULL,990,0
cedence01,NULL,NULL,7310,NULL,NULL,NULL,NULL,NULL,56,167,664,2087,32,83,436,60,550,976,938,2006,NULL,1084,0
cepedor01,NULL,NULL,7927,NULL,NULL,NULL,NULL,NULL,102,218,588,2351,4,154,417,27,142,1365,1169,2124,NULL,1131,1
ceyro01,NULL,NULL,7162,NULL,NULL,NULL,NULL,NULL,62,185,1012,1868,26,117,328,21,24,1139,1235,2073,NULL,977,0
chambch01,NULL,NULL,7571,NULL,NULL,NULL,NULL,NULL,27,166,632,2109,19,99,392,42,40,972,926,2175,NULL,912,0
chancfr01,NULL,NULL,4297,NULL,NULL,NULL,NULL,NULL,137,0,554,1273,111,0,200,79,401,596,29,1287,NULL,797,0
chandsp01,19,26,548,43,6,14,109,549,4,9,20,110,33,0,18,2,0,45,154,211,109,53,0
chapmbe01,6,0,6478,6,0,7,8,77,26,52,824,1958,92,0,407,107,287,977,556,1717,8,1144,0
chapmra01,NULL,NULL,3785,NULL,NULL,NULL,NULL,NULL,19,0,452,1053,334,0,162,81,233,364,414,1051,NULL,671,0
chapmsa01,NULL,NULL,4988,NULL,NULL,NULL,NULL,NULL,15,137,562,1329,35,0,210,52,41,773,682,1368,NULL,754,0
charlos99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
chaseha01,0,0,7417,0,0,0,0,0,30,0,276,2158,216,0,322,124,363,941,306,1919,0,980,0
chesbja01,113,35,1103,132,5,52,260,1209,2,0,25,217,21,0,37,13,5,82,0,393,198,85,0
cirilje01,0,0,5396,0,0,1,0,0,67,153,563,1598,51,18,343,21,63,727,694,1617,0,800,0
cissebi01,NULL,NULL,3707,NULL,NULL,NULL,NULL,NULL,10,6,212,990,69,0,173,43,113,423,250,956,NULL,516,0
clarkfr01,NULL,NULL,8568,NULL,NULL,NULL,NULL,NULL,153,0,874,2672,224,0,361,220,506,1015,135,2242,NULL,1619,0
clarkho01,NULL,NULL,4813,NULL,NULL,NULL,NULL,NULL,11,77,365,1230,29,18,150,23,151,304,362,1272,NULL,548,0
clarkja01,NULL,NULL,6847,NULL,NULL,NULL,NULL,NULL,24,174,1262,1826,9,127,332,39,77,1180,1441,1994,NULL,1118,0
clarkjo01,35,37,1974,178,5,12,485,2376,1,0,81,432,0,0,73,26,31,232,382,546,328,254,1
clarkto02,NULL,NULL,4532,NULL,NULL,NULL,NULL,NULL,21,133,527,1188,0,55,233,11,6,824,1209,1559,NULL,629,0
clarkwi02,NULL,NULL,7173,NULL,NULL,NULL,NULL,NULL,59,100,937,2176,13,155,440,47,67,1205,1190,1976,NULL,1186,0
claytro01,NULL,NULL,7379,NULL,NULL,NULL,NULL,NULL,45,218,565,1904,113,34,363,55,231,723,1415,2108,NULL,935,0
clemero01,NULL,NULL,9454,NULL,NULL,NULL,NULL,NULL,35,275,621,3000,36,167,440,166,83,1305,1230,2433,NULL,1416,1
clemero02,159,46,179,184,0,0,118,1885,2,3,13,31,18,0,6,0,0,12,61,709,354,5,0
coaklan01,26,11,359,59,3,24,87,436,0,0,17,42,18,0,3,1,1,6,0,150,58,14,0
cobbty01,0,0,11434,0,1,2,0,2,94,0,1249,4189,295,0,724,295,892,1937,357,3035,0,2246,1
cochrmi01,NULL,NULL,5169,NULL,NULL,NULL,NULL,NULL,29,0,857,1652,151,0,333,64,64,832,217,1482,NULL,1041,1
colavro01,0,0,6503,0,0,1,0,0,29,182,951,1730,16,58,283,21,19,1159,880,1841,1,971,0
colboji01,41,8,55,88,7,32,60,750,0,0,2,4,3,0,0,1,0,1,30,302,83,0,0
colemvi01,NULL,NULL,5406,NULL,NULL,NULL,NULL,NULL,15,45,477,1425,48,12,176,89,752,346,960,1371,NULL,849,0
collied01,NULL,NULL,9949,NULL,NULL,NULL,NULL,NULL,77,0,1499,3315,512,0,438,187,744,1300,286,2826,NULL,1821,1
colliji01,NULL,NULL,6795,NULL,NULL,NULL,NULL,NULL,84,0,426,1999,147,0,352,116,194,983,32,1725,NULL,1055,0
collish01,NULL,NULL,6390,NULL,NULL,NULL,NULL,NULL,57,0,331,1687,258,0,310,133,225,709,405,1799,NULL,747,0
combsea01,NULL,NULL,5746,NULL,NULL,NULL,NULL,NULL,17,0,670,1866,74,0,309,154,96,632,278,1455,NULL,1186,1
comisch01,0,0,5796,1,0,2,1,9,42,0,197,1530,0,0,206,68,419,883,84,1390,0,994,0
conceda01,0,0,8723,0,0,1,0,0,21,266,736,2326,74,93,389,48,321,950,1186,2488,0,993,0
coneda01,106,22,412,126,1,9,56,1222,3,8,16,64,38,0,9,0,0,22,91,451,194,28,0
coninje01,NULL,NULL,6957,NULL,NULL,NULL,NULL,NULL,41,182,671,1982,9,46,385,36,54,1071,1168,2024,NULL,870,0
connoro01,NULL,NULL,7794,NULL,NULL,NULL,NULL,NULL,38,0,1002,2467,3,0,441,233,244,1322,449,1997,NULL,1620,1
conrowi01,NULL,NULL,5061,NULL,NULL,NULL,NULL,NULL,35,0,345,1257,151,0,176,82,262,452,0,1374,NULL,605,0
coombja01,88,35,1110,110,8,68,187,925,7,0,59,261,23,0,34,10,21,100,44,460,158,123,0
coopean99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
coopece01,NULL,NULL,7349,NULL,NULL,NULL,NULL,NULL,17,150,448,2192,46,79,415,47,89,1125,911,1896,NULL,1012,0
coopemo01,28,33,654,75,14,39,128,703,1,14,23,127,43,0,16,0,0,68,118,297,128,50,0
coopewa01,NULL,NULL,4702,NULL,NULL,NULL,NULL,NULL,22,160,309,1341,44,3,240,40,18,812,357,1473,NULL,573,0
coopewi01,100,35,1227,178,14,84,279,1406,4,0,47,293,38,0,34,17,12,106,140,521,216,111,0
courtcl01,NULL,NULL,2796,NULL,NULL,NULL,NULL,NULL,46,74,264,750,22,22,126,17,3,313,143,946,NULL,260,0
covelst01,30,38,1058,142,21,52,224,1237,4,0,53,168,72,0,26,10,0,81,304,451,215,70,1
coxbi02,NULL,NULL,3712,NULL,NULL,NULL,NULL,NULL,7,83,298,974,62,0,174,32,42,351,218,1058,NULL,470,0
cramedo01,0,0,9140,0,0,1,0,2,41,99,572,2705,180,0,396,109,62,842,345,2239,0,1357,0
crandde01,NULL,NULL,5026,NULL,NULL,NULL,NULL,NULL,21,162,424,1276,68,95,179,18,26,657,477,1573,NULL,585,0
cranddo01,49,9,887,62,25,145,91,669,4,0,118,253,24,0,35,19,9,126,94,500,102,109,0
cravaga01,NULL,NULL,3951,NULL,NULL,NULL,NULL,NULL,28,0,561,1134,105,0,232,83,89,719,514,1220,NULL,575,0
crawfsa01,NULL,NULL,9570,NULL,NULL,NULL,NULL,NULL,23,0,760,2961,241,0,458,309,366,1525,104,2517,NULL,1391,1
crigelo01,NULL,NULL,3202,NULL,NULL,NULL,NULL,NULL,23,0,309,709,85,0,86,50,58,342,0,1012,NULL,337,0
critzhu01,NULL,NULL,5930,NULL,NULL,NULL,NULL,NULL,9,27,289,1591,187,0,195,95,97,531,257,1478,NULL,832,0
cronijo01,NULL,NULL,7579,NULL,NULL,NULL,NULL,NULL,34,57,1059,2285,166,0,515,118,87,1424,700,2124,NULL,1233,1
crosefr01,NULL,NULL,6277,NULL,NULL,NULL,NULL,NULL,114,59,792,1541,90,0,260,65,113,649,799,1683,NULL,1006,0
crossla01,NULL,NULL,9072,NULL,NULL,NULL,NULL,NULL,31,0,464,2645,143,0,411,135,301,1371,90,2275,NULL,1333,0
crowdal01,16,16,847,115,22,71,150,1204,0,0,37,164,44,0,18,5,0,59,77,403,167,66,0
crowlte01,NULL,NULL,1518,NULL,NULL,NULL,NULL,NULL,7,55,222,379,6,21,62,1,3,229,181,865,NULL,174,0
cruiswa01,NULL,NULL,2321,NULL,NULL,NULL,NULL,NULL,12,0,238,644,79,0,83,39,49,272,250,736,NULL,293,0
cruzjo01,NULL,NULL,7917,NULL,NULL,NULL,NULL,NULL,7,119,898,2251,27,142,391,94,317,1077,1031,2353,NULL,1036,0
cuccito01,NULL,NULL,6184,NULL,NULL,NULL,NULL,NULL,18,121,579,1729,96,0,334,46,42,884,497,1704,NULL,730,0
cuellmi01,12,36,661,130,11,33,172,1130,1,5,9,76,43,0,8,4,0,33,304,456,185,37,0
culpra01,70,22,602,101,1,21,80,863,1,8,26,74,67,0,8,2,0,34,292,322,122,40,0
cummica01,0,19,1069,94,0,0,233,1450,0,0,16,227,0,0,29,9,3,107,51,247,145,148,0
cuyleki01,NULL,NULL,7161,NULL,NULL,NULL,NULL,NULL,85,53,676,2299,176,0,394,157,328,1065,752,1879,NULL,1305,1
dahlebi01,NULL,NULL,9031,NULL,NULL,NULL,NULL,NULL,140,0,1064,2457,155,0,413,163,547,1233,269,2443,NULL,1589,0
dandrra99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
danniha01,NULL,NULL,2971,NULL,NULL,NULL,NULL,NULL,14,94,187,847,22,0,162,26,13,397,217,890,NULL,363,0
darkal01,0,0,7219,0,0,0,0,2,54,134,430,2089,95,20,358,72,59,757,534,1828,0,1064,0
darliro01,59,13,526,116,0,5,37,1139,1,2,15,76,65,0,21,2,1,21,175,402,136,39,0
darwida01,81,9,305,182,32,171,53,1431,1,1,6,39,20,0,11,2,2,22,171,722,171,15,0
daubeja01,NULL,NULL,7673,NULL,NULL,NULL,NULL,NULL,54,0,623,2326,392,0,250,165,251,722,489,2014,NULL,1117,0
dauerri01,NULL,NULL,3829,NULL,NULL,NULL,NULL,NULL,14,128,297,984,44,7,193,3,6,372,219,1140,NULL,448,0
daultda01,NULL,NULL,3630,NULL,NULL,NULL,NULL,NULL,24,35,629,891,12,58,197,25,50,588,726,1161,NULL,511,0
davalvi01,0,0,4017,0,0,0,0,1,10,43,212,1122,32,29,160,37,125,329,422,1458,0,509,0
davisch01,1,0,8673,0,0,1,0,0,15,232,1194,2380,20,188,424,30,142,1372,1698,2436,0,1240,0
daviscu01,47,24,813,131,33,111,141,1033,0,19,28,165,63,0,17,0,1,81,176,449,158,70,0
daviser01,NULL,NULL,5321,NULL,NULL,NULL,NULL,NULL,33,112,740,1430,3,59,239,26,349,934,1398,1626,NULL,938,0
davisge01,0,0,9031,1,1,3,0,8,75,0,870,2660,175,0,451,163,616,1437,180,2368,0,1539,1
davisha01,NULL,NULL,6653,NULL,NULL,NULL,NULL,NULL,59,0,525,1841,142,0,361,145,285,951,45,1755,NULL,1001,0
davisma01,28,2,167,84,96,265,4,582,0,0,8,26,24,0,3,4,1,9,54,625,51,16,0
davissp01,NULL,NULL,4255,NULL,NULL,NULL,NULL,NULL,22,100,386,1312,50,0,244,22,6,647,326,1458,NULL,388,0
davisto02,NULL,NULL,7223,NULL,NULL,NULL,NULL,NULL,32,219,381,2121,35,66,272,35,136,1052,754,1999,NULL,811,0
dawsoan01,NULL,NULL,9927,NULL,NULL,NULL,NULL,NULL,111,217,589,2774,24,143,503,98,314,1591,1509,2627,NULL,1373,1
dayle99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
deandi01,27,26,717,83,30,76,154,774,1,12,9,161,39,0,23,4,5,76,104,325,150,76,1
decindo01,NULL,NULL,5809,NULL,NULL,NULL,NULL,NULL,21,177,618,1505,22,57,312,29,58,879,904,1649,NULL,778,0
delahed01,NULL,NULL,7505,NULL,NULL,NULL,NULL,NULL,94,0,741,2596,49,0,522,185,455,1464,244,1835,NULL,1599,0
delgaca01,NULL,NULL,7283,NULL,NULL,NULL,NULL,NULL,172,152,1109,2038,0,186,483,18,14,1512,1745,2035,NULL,1241,0
dempsri01,0,0,4692,0,0,2,0,1,18,131,592,1093,63,13,223,12,20,471,736,1766,0,525,0
dennyje01,0,0,4946,0,0,1,0,5,15,0,173,1286,0,0,238,76,130,667,602,1237,0,714,0
dennyjo01,54,18,570,108,0,0,62,967,1,4,19,97,63,0,9,2,9,29,164,326,123,44,0
dentbu01,NULL,NULL,4512,NULL,NULL,NULL,NULL,NULL,15,79,328,1114,121,9,169,23,17,423,349,1392,NULL,451,0
derripa01,32,32,1260,212,29,98,251,1652,2,27,16,220,77,0,30,3,0,102,219,579,223,70,0
deshaji01,27,6,373,95,0,1,15,743,0,3,23,33,44,0,0,0,0,12,186,258,84,13,0
dickebi01,NULL,NULL,6300,NULL,NULL,NULL,NULL,NULL,31,49,678,1969,51,0,343,72,37,1209,289,1789,NULL,930,1
dierkla01,50,25,789,123,1,10,106,948,1,16,12,107,70,0,14,0,0,46,272,357,139,38,0
dihigma99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
dimagdo01,NULL,NULL,5640,NULL,NULL,NULL,NULL,NULL,31,107,750,1680,57,0,308,57,100,618,571,1399,NULL,1046,0
dimagjo01,NULL,NULL,6821,NULL,NULL,NULL,NULL,NULL,46,130,790,2214,14,0,389,131,30,1537,369,1736,NULL,1390,1
dinnebi01,77,23,1143,177,7,35,306,1411,12,0,80,219,36,0,18,5,29,60,0,417,170,99,0
disarga01,NULL,NULL,3744,NULL,NULL,NULL,NULL,NULL,36,105,154,966,77,0,186,20,47,355,306,1086,NULL,444,0
doakbi01,65,34,905,157,16,63,162,1184,2,0,30,115,71,0,15,5,0,30,332,453,169,40,0
dobsopa01,26,14,317,129,19,51,74,939,1,8,11,39,47,0,4,0,0,12,102,414,122,13,0
dobyla01,NULL,NULL,5348,NULL,NULL,NULL,NULL,NULL,38,97,871,1515,20,19,243,52,47,970,1011,1533,NULL,960,1
doerrbo01,NULL,NULL,7093,NULL,NULL,NULL,NULL,NULL,11,182,809,2042,115,0,381,89,54,1247,608,1865,NULL,1094,1
donlimi01,1,0,3854,1,0,3,0,15,20,0,312,1282,96,0,176,97,213,543,39,1049,0,669,0
donovbi01,91,35,1302,139,8,49,289,1212,6,0,77,251,55,0,30,11,36,93,6,459,186,142,0
dooinre01,NULL,NULL,4004,NULL,NULL,NULL,NULL,NULL,20,0,155,961,92,0,139,31,133,344,87,1290,NULL,333,0
downial01,31,24,717,107,3,37,73,938,0,15,37,91,53,0,12,3,0,51,293,409,123,36,0
downibr01,NULL,NULL,7853,NULL,NULL,NULL,NULL,NULL,129,197,1197,2099,60,55,360,28,50,1073,1127,2344,NULL,1188,0
doyleja01,NULL,NULL,6039,NULL,NULL,NULL,NULL,NULL,49,0,437,1806,41,0,315,64,516,968,132,1564,NULL,971,0
doylela01,NULL,NULL,6509,NULL,NULL,NULL,NULL,NULL,53,0,625,1887,195,0,299,123,298,793,274,1766,NULL,960,0
drabedo01,53,21,716,134,0,4,53,1141,7,5,17,119,66,0,17,3,0,46,207,412,155,42,0
drewj.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
dropowa01,NULL,NULL,4124,NULL,NULL,NULL,NULL,NULL,24,166,328,1113,22,12,168,22,5,704,582,1288,NULL,478,0
drysddo01,154,49,1169,166,6,34,167,1292,5,34,60,218,69,0,26,7,0,113,370,547,209,96,1
duffyhu01,NULL,NULL,7042,NULL,NULL,NULL,NULL,NULL,29,0,662,2282,94,0,325,119,574,1302,211,1737,NULL,1552,0
duganjo01,NULL,NULL,5410,NULL,NULL,NULL,NULL,NULL,42,0,250,1516,177,0,277,46,37,571,419,1447,NULL,665,0
dunlafr01,0,0,3974,0,1,2,0,3,7,0,283,1159,0,0,224,53,85,366,263,965,0,759,0
dunnja01,54,3,1622,59,3,21,103,664,14,0,83,397,53,0,54,10,55,164,0,490,64,197,0
dunstsh01,NULL,NULL,5927,NULL,NULL,NULL,NULL,NULL,41,98,203,1597,56,44,292,62,212,668,1000,1814,NULL,736,0
durhara01,NULL,NULL,7408,NULL,NULL,NULL,NULL,NULL,72,151,820,2054,55,34,440,79,273,875,1201,1975,NULL,1249,0
durocle01,NULL,NULL,5350,NULL,NULL,NULL,NULL,NULL,18,109,377,1320,82,0,210,56,31,567,480,1637,NULL,575,0
dyeje01,NULL,NULL,6487,NULL,NULL,NULL,NULL,NULL,63,184,597,1779,2,40,363,25,46,1072,1308,1763,NULL,984,0
