playerid,p_HBP,p_SHO,b_AB,p_L,p_SV,p_GF,p_CG,p_R,b_HBP,b_GIDP,b_BB,b_H,b_SH,b_IBB,b_2B,b_3B,b_SB,b_RBI,b_SO,b_G,p_W,b_R,classification
whitefr01,NULL,NULL,7859,NULL,NULL,NULL,NULL,NULL,30,156,412,2006,101,27,407,58,178,886,1035,2324,NULL,912,0
whiteha01,14,7,255,54,25,144,23,443,1,5,16,37,10,0,7,0,0,7,91,337,46,15,0
whitero01,NULL,NULL,6650,NULL,NULL,NULL,NULL,NULL,29,123,934,1803,53,66,300,51,233,758,708,1881,NULL,964,0
whitero02,NULL,NULL,5357,NULL,NULL,NULL,NULL,NULL,88,143,360,1519,5,21,296,34,94,768,925,1474,NULL,756,0
whitewi01,68,36,1478,166,0,2,394,1844,1,0,56,271,0,0,28,7,0,111,128,403,229,167,0
wilheho01,62,5,432,122,227,651,20,773,0,8,26,38,34,0,3,1,0,21,166,1070,143,24,1
willibe02,NULL,NULL,7869,NULL,NULL,NULL,NULL,NULL,39,223,1069,2336,12,97,449,55,147,1257,1212,2076,NULL,1366,0
willibi01,NULL,NULL,9350,NULL,NULL,NULL,NULL,NULL,43,200,1045,2711,8,182,434,88,90,1475,1046,2488,NULL,1410,1
willicy01,NULL,NULL,6780,NULL,NULL,NULL,NULL,NULL,86,0,690,1981,164,0,306,74,115,1005,721,2002,NULL,1024,0
willijo99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
willike01,NULL,NULL,4862,NULL,NULL,NULL,NULL,NULL,28,0,566,1552,160,0,285,77,154,913,287,1397,NULL,860,0
willima04,NULL,NULL,7000,NULL,NULL,NULL,NULL,NULL,55,182,469,1878,9,86,338,35,53,1218,1363,1866,NULL,997,0
willimi02,52,0,16,58,192,419,0,317,0,1,1,3,0,0,0,0,0,4,4,619,45,2,0
willine01,0,0,4553,1,3,9,1,31,23,0,506,1159,0,0,228,85,88,667,532,1201,1,809,0
willite01,0,0,7706,0,0,1,0,1,39,197,2021,2654,5,86,525,71,24,1839,709,2292,0,1798,1
willivi01,157,50,1493,205,11,41,388,1628,8,0,81,248,41,0,19,4,3,84,8,531,249,107,1
williwo02,72,2,540,116,0,34,10,1096,5,3,17,105,45,0,25,1,1,43,183,443,132,52,0
willsma01,NULL,NULL,7588,NULL,NULL,NULL,NULL,NULL,16,92,552,2134,119,26,177,71,586,458,684,1942,NULL,1067,0
wilsoha01,NULL,NULL,4760,NULL,NULL,NULL,NULL,NULL,20,15,674,1461,102,0,266,67,52,1063,713,1348,NULL,884,1
wilsoji01,NULL,NULL,4778,NULL,NULL,NULL,NULL,NULL,18,37,356,1358,101,0,252,32,86,621,280,1525,NULL,580,0
wilsoju99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
wilsowi02,NULL,NULL,7731,NULL,NULL,NULL,NULL,NULL,62,90,425,2207,64,27,281,147,668,585,1144,2154,NULL,1169,0
winfida01,NULL,NULL,11003,NULL,NULL,NULL,NULL,NULL,25,319,1216,3110,19,172,540,88,223,1833,1686,2973,NULL,1669,1
winnra01,NULL,NULL,6186,NULL,NULL,NULL,NULL,NULL,53,98,526,1759,58,23,367,59,215,662,1010,1717,NULL,863,0
wiseri01,44,30,668,181,0,15,138,1455,3,7,27,130,40,0,21,5,0,66,240,511,188,60,0
wittbo01,39,11,64,157,0,13,47,1449,0,0,2,9,6,0,3,0,0,5,25,438,142,2,0
wittmi01,55,11,0,116,6,22,72,1012,0,0,0,0,0,0,0,0,0,0,0,341,117,0,0
wittwh01,NULL,NULL,4171,NULL,NULL,NULL,NULL,NULL,7,0,489,1195,104,0,144,62,78,302,309,1139,NULL,632,0
womacto01,NULL,NULL,4963,NULL,NULL,NULL,NULL,NULL,28,53,308,1353,57,9,190,59,363,368,649,1303,NULL,739,0
woodjo02,49,28,1952,57,11,57,121,497,16,0,208,553,96,0,118,31,23,325,189,696,117,266,0
woodwi01,63,24,322,156,57,198,114,1130,1,7,20,27,38,0,2,0,1,13,189,651,164,11,0
